Date,Match,Result,Score,Competition
21 Dec 1980,Brazil v Switzerland,W,2-0,International Friendly
04 Jan 1981,Argentina v Brazil,D,1-1,Gold Cup
07 Jan 1981,West Germany v Brazil,W,1-4,Gold Cup
10 Jan 1981,Uruguay v Brazil,L,2-1,Gold Cup
01 Feb 1981,Colombia v Brazil,D,1-1,International Friendly
08 Feb 1981,Venezuela v Brazil,W,0-1,FIFA World Cup
14 Feb 1981,Ecuador v Brazil,W,0-6,International Friendly
22 Feb 1981,Bolivia v Brazil,W,1-2,FIFA World Cup
14 Mar 1981,Brazil v Chile,W,2-1,International Friendly
22 Mar 1981,Brazil v Bolivia,W,3-1,FIFA World Cup
29 Mar 1981,Brazil v Venezuela,W,5-0,FIFA World Cup
12 May 1981,England v Brazil,W,0-1,International Friendly
15 May 1981,France v Brazil,W,1-3,International Friendly
19 May 1981,West Germany v Brazil,W,1-2,International Friendly
08 Jul 1981,Brazil v Spain,W,1-0,International Friendly
26 Aug 1981,Chile v Brazil,D,0-0,International Friendly
28 Oct 1981,Brazil v Bulgaria,W,3-0,International Friendly
26 Jan 1982,Brazil v East Germany,W,3-1,International Friendly
03 Mar 1982,Brazil v Czechoslovakia,D,1-1,International Friendly
21 Mar 1982,Brazil v West Germany,W,1-0,International Friendly
05 May 1982,Brazil v Portugal,W,3-1,International Friendly
19 May 1982,Brazil v Switzerland,D,1-1,International Friendly
27 May 1982,Brazil v Republic of Ireland,W,7-0,International Friendly
14 Jun 1982,Brazil v USSR,W,2-1,FIFA World Cup
18 Jun 1982,Brazil v Scotland,W,4-1,FIFA World Cup
23 Jun 1982,Brazil v New Zealand,W,4-0,FIFA World Cup
02 Jul 1982,Brazil v Argentina,W,3-1,FIFA World Cup
05 Jul 1982,Italy v Brazil,L,3-2,FIFA World Cup
28 Apr 1983,Brazil v Chile,W,3-2,International Friendly
08 Jun 1983,Portugal v Brazil,W,0-4,International Friendly
12 Jun 1983,Wales v Brazil,D,1-1,International Friendly
17 Jun 1983,Switzerland v Brazil,W,1-2,International Friendly
22 Jun 1983,Sweden v Brazil,D,3-3,Jubilee
28 Jul 1983,Chile v Brazil,D,0-0,International Friendly
17 Aug 1983,Ecuador v Brazil,W,0-1,Copa America
24 Aug 1983,Argentina v Brazil,L,1-0,Copa America
01 Sep 1983,Brazil v Ecuador,W,5-0,Copa America
14 Sep 1983,Brazil v Argentina,D,0-0,Copa America
13 Oct 1983,Paraguay v Brazil,D,1-1,Copa America
20 Oct 1983,Brazil v Paraguay,D,0-0,Copa America
27 Oct 1983,Uruguay v Brazil,L,2-0,Copa America
04 Nov 1983,Brazil v Uruguay,D,1-1,Copa America
10 Jun 1984,Brazil v England,L,0-2,International Friendly
17 Jun 1984,Brazil v Argentina,D,0-0,International Friendly
21 Jun 1984,Brazil v Uruguay,W,1-0,International Friendly
25 Apr 1985,Brazil v Colombia,W,2-1,International Friendly
28 Apr 1985,Brazil v Peru,L,0-1,International Friendly
02 May 1985,Brazil v Uruguay,W,2-0,International Friendly
05 May 1985,Brazil v Argentina,W,2-1,International Friendly
15 May 1985,Colombia v Brazil,L,1-0,International Friendly
21 May 1985,Chile v Brazil,L,2-1,International Friendly
02 Jun 1985,Bolivia v Brazil,W,0-2,FIFA World Cup
08 Jun 1985,Brazil v Chile,W,3-1,International Friendly
16 Jun 1985,Paraguay v Brazil,W,0-2,FIFA World Cup
23 Jun 1985,Brazil v Paraguay,D,1-1,FIFA World Cup
30 Jun 1985,Brazil v Bolivia,D,1-1,FIFA World Cup
12 Mar 1986,West Germany v Brazil,L,2-0,International Friendly
16 Mar 1986,Hungary v Brazil,L,3-0,International Friendly
01 Apr 1986,Brazil v Peru,W,4-0,International Friendly
08 Apr 1986,Brazil v East Germany,W,3-0,International Friendly
17 Apr 1986,Brazil v Finland,W,3-0,International Friendly
30 Apr 1986,Brazil v Yugoslavia,W,4-2,International Friendly
07 May 1986,Brazil v Chile,D,1-1,International Friendly
01 Jun 1986,Brazil v Spain,W,1-0,FIFA World Cup
06 Jun 1986,Brazil v Algeria,W,1-0,FIFA World Cup
12 Jun 1986,Brazil v Northern Ireland,W,3-0,FIFA World Cup
16 Jun 1986,Brazil v Poland,W,4-0,FIFA World Cup
21 Jun 1986,France v Brazil,L,1-1 (4-3),FIFA World Cup
19 May 1987,England v Brazil,D,1-1,Rous Cup
23 May 1987,Republic of Ireland v Brazil,L,1-0,International Friendly
26 May 1987,Scotland v Brazil,W,0-2,Rous Cup
01 Jun 1987,Israel v Brazil,W,0-4,International Friendly
21 Jun 1987,Brazil v Ecuador,W,4-1,International Friendly
24 Jun 1987,Brazil v Paraguay,W,1-0,International Friendly
28 Jun 1987,Brazil v Venezuela,W,5-0,Copa America
03 Jul 1987,Chile v Brazil,L,4-0,Copa America
09 Dec 1987,Brazil v Chile,W,2-1,International Friendly
12 Dec 1987,Brazil v West Germany,D,1-1,International Friendly
07 Jul 1988,Australia v Brazil,W,0-1,Bicentennial Gold Cup
10 Jul 1988,Argentina v Brazil,D,0-0,Bicentennial Gold Cup
13 Jul 1988,Brazil v Saudi Arabia,W,4-1,Bicentennial Gold Cup
17 Jul 1988,Australia v Brazil,W,0-2,Bicentennial Gold Cup
28 Jul 1988,Norway v Brazil,D,1-1,International Friendly
03 Aug 1988,Austria v Brazil,W,0-2,International Friendly
12 Oct 1988,Belgium v Brazil,W,1-2,International Friendly
15 Mar 1989,Brazil v Ecuador,W,1-0,International Friendly
12 Apr 1989,Brazil v Paraguay,W,2-0,International Friendly
10 May 1989,Brazil v Peru,W,4-1,International Friendly
24 May 1989,Peru v Brazil,D,1-1,International Friendly
16 Jun 1989,Sweden v Brazil,L,2-1,Tri Tournament
18 Jun 1989,Denmark v Brazil,L,4-0,Tri Tournament
21 Jun 1989,Switzerland v Brazil,L,1-0,International Friendly
01 Jul 1989,Brazil v Venezuela,W,3-1,Copa America
03 Jul 1989,Brazil v Peru,D,0-0,Copa America
07 Jul 1989,Brazil v Colombia,D,0-0,Copa America
09 Jul 1989,Brazil v Paraguay,W,2-0,Copa America
12 Jul 1989,Brazil v Argentina,W,2-0,Copa America
14 Jul 1989,Brazil v Paraguay,W,3-0,Copa America
16 Jul 1989,Brazil v Uruguay,W,1-0,Copa America
23 Jul 1989,Brazil v Japan,W,1-0,International Friendly
30 Jul 1989,Venezuela v Brazil,W,0-4,FIFA World Cup
13 Aug 1989,Chile v Brazil,D,1-1,FIFA World Cup
20 Aug 1989,Brazil v Venezuela,W,6-0,FIFA World Cup
03 Sep 1989,Brazil v Chile,W,1-0,FIFA World Cup
14 Oct 1989,Italy v Brazil,W,0-1,International Friendly
14 Nov 1989,Brazil v Yugoslavia,D,0-0,International Friendly
20 Dec 1989,Netherlands v Brazil,W,0-1,International Friendly
28 Mar 1990,England v Brazil,L,1-0,International Friendly
05 May 1990,Brazil v Bulgaria,W,2-1,International Friendly
13 May 1990,Brazil v East Germany,D,3-3,International Friendly
10 Jun 1990,Brazil v Sweden,W,2-1,FIFA World Cup
16 Jun 1990,Brazil v Costa Rica,W,1-0,FIFA World Cup
20 Jun 1990,Brazil v Scotland,W,1-0,FIFA World Cup
24 Jun 1990,Brazil v Argentina,L,0-1,FIFA World Cup
12 Sep 1990,Spain v Brazil,L,3-0,International Friendly
17 Oct 1990,Chile v Brazil,D,0-0,International Friendly
08 Nov 1990,Brazil v Chile,D,0-0,International Friendly
12 Dec 1990,Brazil v Mexico,D,0-0,International Friendly
27 Feb 1991,Brazil v Paraguay,D,1-1,International Friendly
27 Mar 1991,Argentina v Brazil,D,3-3,International Friendly
28 May 1991,Brazil v Bulgaria,W,3-0,International Friendly
27 Jun 1991,Brazil v Argentina,D,1-1,International Friendly
09 Jul 1991,Brazil v Bolivia,W,2-1,Copa America
11 Jul 1991,Brazil v Uruguay,D,1-1,Copa America
13 Jul 1991,Brazil v Colombia,L,0-2,Copa America
15 Jul 1991,Brazil v Ecuador,W,3-2,Copa America
17 Jul 1991,Brazil v Argentina,L,2-3,Copa America
19 Jul 1991,Brazil v Colombia,W,2-0,Copa America
21 Jul 1991,Chile v Brazil,W,0-2,Copa America
11 Sep 1991,Wales v Brazil,L,1-0,International Friendly
30 Oct 1991,Brazil v Yugoslavia,W,3-1,International Friendly
18 Dec 1991,Brazil v Czechoslovakia,W,2-1,International Friendly
26 Feb 1992,Brazil v USA,W,3-0,International Friendly
15 Apr 1992,Brazil v Finland,W,3-1,International Friendly
30 Apr 1992,Uruguay v Brazil,L,1-0,International Friendly
17 May 1992,England v Brazil,D,1-1,International Friendly
31 Jul 1992,Mexico v Brazil,W,0-5,Friendship Cup
02 Aug 1992,USA v Brazil,W,0-1,Friendship Cup
26 Aug 1992,France v Brazil,W,0-2,International Friendly
23 Sep 1992,Brazil v Costa Rica,W,4-2,International Friendly
26 Nov 1992,Brazil v Uruguay,L,1-2,International Friendly
16 Dec 1992,Brazil v Germany,W,3-1,International Friendly
18 Feb 1993,Argentina v Brazil,D,1-1,International Friendly
17 Mar 1993,Brazil v Poland,D,2-2,International Friendly
06 Jun 1993,USA v Brazil,W,0-2,US Cup
10 Jun 1993,Brazil v Germany,D,3-3,US Cup
13 Jun 1993,England v Brazil,D,1-1,US Cup
18 Jun 1993,Brazil v Peru,D,0-0,Copa America
21 Jun 1993,Brazil v Chile,L,2-3,Copa America
24 Jun 1993,Brazil v Paraguay,W,3-0,Copa America
27 Jun 1993,Brazil v Argentina,L,1-1 (5-6),Copa America
14 Jul 1993,Brazil v Paraguay,W,2-0,International Friendly
18 Jul 1993,Ecuador v Brazil,D,0-0,FIFA World Cup
25 Jul 1993,Bolivia v Brazil,L,2-0,FIFA World Cup
01 Aug 1993,Venezuela v Brazil,W,1-5,FIFA World Cup
08 Aug 1993,Brazil v Mexico,D,1-1,International Friendly
15 Aug 1993,Uruguay v Brazil,D,1-1,FIFA World Cup
22 Aug 1993,Brazil v Ecuador,W,2-0,FIFA World Cup
29 Aug 1993,Brazil v Bolivia,W,6-0,FIFA World Cup
05 Sep 1993,Brazil v Venezuela,W,4-0,FIFA World Cup
19 Sep 1993,Brazil v Uruguay,W,2-0,FIFA World Cup
17 Nov 1993,Germany v Brazil,L,2-1,International Friendly
16 Dec 1993,Mexico v Brazil,W,0-1,International Friendly
24 Mar 1994,Brazil v Argentina,W,2-0,International Friendly
04 May 1994,Brazil v Iceland,W,3-0,International Friendly
05 Jun 1994,Canada v Brazil,D,1-1,International Friendly
08 Jun 1994,Brazil v Honduras,W,8-2,International Friendly
13 Jun 1994,Brazil v El Salvador,W,4-0,International Friendly
20 Jun 1994,Brazil v Russia,W,2-0,FIFA World Cup
24 Jun 1994,Brazil v Cameroon,W,3-0,FIFA World Cup
28 Jun 1994,Brazil v Sweden,D,1-1,FIFA World Cup
04 Jul 1994,USA v Brazil,W,0-1,FIFA World Cup
09 Jul 1994,Brazil v Netherlands,W,3-2,FIFA World Cup
13 Jul 1994,Brazil v Sweden,W,1-0,FIFA World Cup
17 Jul 1994,Brazil v Italy,W,0-0 (3-2),FIFA World Cup
23 Dec 1994,Brazil v Yugoslavia,W,2-0,International Friendly
22 Feb 1995,Brazil v Slovakia,W,5-0,International Friendly
29 Mar 1995,Brazil v Honduras,D,1-1,International Friendly
18 May 1995,Israel v Brazil,W,1-2,International Friendly
04 Jun 1995,Brazil v Sweden,W,1-0,Umbro Cup
06 Jun 1995,Japan v Brazil,W,0-3,Umbro Cup
11 Jun 1995,England v Brazil,W, 1-3,Umbro Cup
29 Jun 1995,Brazil v Poland,W,2-1,International Friendly
07 Jul 1995,Brazil v Ecuador,W,1-0,Copa America
10 Jul 1995,Brazil v Peru,W,2-0,Copa America
13 Jul 1995,Brazil v Colombia,W,3-0,Copa America
17 Jul 1995,Brazil v Argentina,D,2-2,Copa America
20 Jul 1995,USA v Brazil,W,0-1,Copa America
23 Jul 1995,Uruguay v Brazil,L,1-1 (5-3),Copa America
09 Aug 1995,Japan v Brazil,W,1-5,International Friendly
12 Aug 1995,Korea Republic v Brazil,W,0-1,International Friendly
27 Sep 1995,Brazil v Romania,D,2-2,International Friendly
11 Oct 1995,Brazil v Uruguay,W,2-0,International Friendly
08 Nov 1995,Argentina v Brazil,W,0-1,International Friendly
20 Dec 1995,Brazil v Colombia,W,3-1,International Friendly
12 Jan 1996,Brazil v Canada,W,4-1,CONCACAF Gold Cup
14 Jan 1996,Brazil v Honduras,W,5-0,CONCACAF Gold Cup
18 Jan 1996,USA v Brazil,W,0-1,CONCACAF Gold Cup
21 Jan 1996,Brazil v Mexico,L,0-2,CONCACAF Gold Cup
27 Mar 1996,Brazil v Ghana,W,8-2,International Friendly
24 Apr 1996,South Africa v Brazil,W,2-3,International Friendly
28 Aug 1996,Russia v Brazil,D,2-2,International Friendly
31 Aug 1996,Netherlands v Brazil,D,2-2,International Friendly
16 Oct 1996,Brazil v Lithuania,W,3-1,International Friendly
13 Nov 1996,Brazil v Cameroon,W,2-0,International Friendly
18 Dec 1996,Brazil v Bosnia and Herzegovina,W,1-0,International Friendly
26 Feb 1997,Brazil v Poland,W,4-2,International Friendly
02 Apr 1997,Brazil v Chile,W,4-0,International Friendly
30 Apr 1997,Brazil v Mexico,W,4-0,International Friendly
30 May 1997,Norway v Brazil,L,4-2,International Friendly
03 Jun 1997,France v Brazil,D,1-1,Tournoi de France
08 Jun 1997,Brazil v Italy,D,3-3,Tournoi de France
10 Jun 1997,Brazil v England,W,1-0,Tournoi de France
13 Jun 1997,Brazil v Costa Rica,W,5-0,Copa America
16 Jun 1997,Brazil v Mexico,W,3-2,Copa America
19 Jun 1997,Brazil v Colombia,W,2-0,Copa America
22 Jun 1997,Brazil v Paraguay,W,2-0,Copa America
26 Jun 1997,Brazil v Peru,W,7-0,Copa America
29 Jun 1997,Bolivia v Brazil,W,1-3,Copa America
10 Aug 1997,Korea Republic v Brazil,W,1-2,Nike World Tour
13 Aug 1997,Japan v Brazil,W,0-3,International Friendly
10 Sep 1997,Brazil v Ecuador,W,4-2,International Friendly
09 Oct 1997,Brazil v Morocco,W,2-0,International Friendly
12 Nov 1997,Brazil v Wales,W,3-0,International Friendly
07 Dec 1997,South Africa v Brazil,W,1-2,International Friendly
12 Dec 1997,Saudi Arabia v Brazil,W,0-3,FIFA Confederations Cup
14 Dec 1997,Australia v Brazil,D,0-0,FIFA Confederations Cup
16 Dec 1997,Brazil v Mexico,W,3-2,FIFA Confederations Cup
19 Dec 1997,Brazil v Czech Republic,W,2-0,FIFA Confederations Cup
21 Dec 1997,Brazil v Australia,W,6-0,FIFA Confederations Cup
03 Feb 1998,Brazil v Jamaica,D,0-0,CONCACAF Gold Cup
05 Feb 1998,Brazil v Guatemala,D,1-1,CONCACAF Gold Cup
08 Feb 1998,Brazil v El Salvador,W,4-0,CONCACAF Gold Cup
10 Feb 1998,USA v Brazil,L,1-0,CONCACAF Gold Cup
15 Feb 1998,Brazil v Jamaica,W,1-0,CONCACAF Gold Cup
25 Mar 1998,Germany v Brazil,W,1-2,International Friendly
29 Apr 1998,Brazil v Argentina,L,0-1,International Friendly
03 Jun 1998,Brazil v Andorra,W,3-0,International Friendly
10 Jun 1998,Brazil v Scotland,W,2-1,FIFA World Cup
16 Jun 1998,Brazil v Morocco,W,3-0,FIFA World Cup
23 Jun 1998,Brazil v Norway,L,1-2,FIFA World Cup
27 Jun 1998,Brazil v Chile,W,4-1,FIFA World Cup
03 Jul 1998,Brazil v Denmark,W,3-2,FIFA World Cup
07 Jul 1998,Brazil v Netherlands,W,1-1 (4-2),FIFA World Cup
12 Jul 1998,Brazil v France,L,0-3,FIFA World Cup
23 Sep 1998,Brazil v Yugoslavia,D,1-1,International Friendly
14 Oct 1998,Brazil v Ecuador,W,5-1,International Friendly
18 Nov 1998,Brazil v Russia,W,5-1,International Friendly
28 Mar 1999,Korea Republic v Brazil,L,1-0,International Friendly
31 Mar 1999,Japan v Brazil,W,0-2,International Friendly
05 Jun 1999,Brazil v Netherlands,D,2-2,International Friendly
08 Jun 1999,Brazil v Netherlands,W,3-1,International Friendly
26 Jun 1999,Brazil v Latvia,W,3-0,International Friendly
30 Jun 1999,Brazil v Venezuela,W,7-0,Copa America
03 Jul 1999,Brazil v Mexico,W,2-1,Copa America
06 Jul 1999,Brazil v Chile,W,1-0,Copa America
11 Jul 1999,Brazil v Argentina,W,2-1,Copa America
14 Jul 1999,Mexico v Brazil,W,0-2,Copa America
18 Jul 1999,Brazil v Uruguay,W,3-0,Copa America
24 Jul 1999,Brazil v Germany,W,4-0,FIFA Confederations Cup
28 Jul 1999,Brazil v USA,W,1-0,FIFA Confederations Cup
30 Jul 1999,New Zealand v Brazil,W,0-2,FIFA Confederations Cup
01 Aug 1999,Brazil v Saudi Arabia,W,8-2,FIFA Confederations Cup
04 Aug 1999,Mexico v Brazil,L,4-3,FIFA Confederations Cup
04 Sep 1999,Argentina v Brazil,L,2-0,International Friendly
07 Sep 1999,Brazil v Argentina,W,4-2,International Friendly
09 Oct 1999,Netherlands v Brazil,D,2-2,International Friendly
13 Nov 1999,Spain v Brazil,D,0-0,International Friendly
23 Feb 2000,Thailand v Brazil,W,0-7,King`s Cup
28 Mar 2000,Colombia v Brazil,D,0-0,FIFA World Cup
26 Apr 2000,Brazil v Ecuador,W,3-2,FIFA World Cup
23 May 2000,Wales v Brazil,W,0-3,International Friendly
27 May 2000,England v Brazil,D,1-1,International Friendly
04 Jun 2000,Peru v Brazil,W,0-1,FIFA World Cup
28 Jun 2000,Brazil v Uruguay,D,1-1,FIFA World Cup
18 Jul 2000,Paraguay v Brazil,L,2-1,FIFA World Cup
26 Jul 2000,Brazil v Argentina,W,3-1,FIFA World Cup
15 Aug 2000,Chile v Brazil,L,3-0,FIFA World Cup
03 Sep 2000,Brazil v Bolivia,W,5-0,FIFA World Cup
08 Oct 2000,Venezuela v Brazil,W,0-6,FIFA World Cup
15 Nov 2000,Brazil v Colombia,W,1-0,FIFA World Cup
03 Mar 2001,USA v Brazil,W,1-2,International Friendly
07 Mar 2001,Mexico v Brazil,D,3-3,International Friendly
28 Mar 2001,Ecuador v Brazil,L,1-0,FIFA World Cup
25 Apr 2001,Brazil v Peru,D,1-1,FIFA World Cup
31 May 2001,Brazil v Cameroon,W,2-0,FIFA Confederations Cup
02 Jun 2001,Canada v Brazil,D,0-0,FIFA Confederations Cup
04 Jun 2001,Japan v Brazil,D,0-0,FIFA Confederations Cup
07 Jun 2001,France v Brazil,L,2-1,FIFA Confederations Cup
09 Jun 2001,Australia v Brazil,L,1-0,FIFA Confederations Cup
01 Jul 2001,Uruguay v Brazil,L,1-0,FIFA World Cup
12 Jul 2001,Brazil v Mexico,L,0-1,Copa America
15 Jul 2001,Brazil v Peru,W,2-0,Copa America
18 Jul 2001,Brazil v Paraguay,W,3-1,Copa America
23 Jul 2001,Brazil v Honduras,L,0-2,Copa America
09 Aug 2001,Brazil v Panama,W,5-0,International Friendly
16 Aug 2001,Brazil v Paraguay,W,2-0,FIFA World Cup
05 Sep 2001,Argentina v Brazil,L,2-1,FIFA World Cup
07 Oct 2001,Brazil v Chile,W,2-0,FIFA World Cup
07 Nov 2001,Bolivia v Brazil,L,3-1,FIFA World Cup
14 Nov 2001,Brazil v Venezuela,W,3-0,FIFA World Cup
31 Jan 2002,Brazil v Bolivia,W,6-0,International Friendly
06 Feb 2002,Saudi Arabia v Brazil,W,0-1,International Friendly
07 Mar 2002,Brazil v Iceland,W,6-1,International Friendly
27 Mar 2002,Brazil v Yugoslavia,W,1-0,International Friendly
17 Apr 2002,Portugal v Brazil,D,1-1,International Friendly
25 May 2002,Malaysia v Brazil,W,0-4,International Friendly
03 Jun 2002,Brazil v Turkey,W,2-1,FIFA World Cup
08 Jun 2002,Brazil v China PR,W,4-0,FIFA World Cup
13 Jun 2002,Costa Rica v Brazil,W,2-5,FIFA World Cup
17 Jun 2002,Brazil v Belgium,W,2-0,FIFA World Cup
21 Jun 2002,England v Brazil,W,1-2,FIFA World Cup
26 Jun 2002,Brazil v Turkey,W,1-0,FIFA World Cup
30 Jun 2002,Brazil v Germany,W,2-0,FIFA World Cup
21 Aug 2002,Brazil v Paraguay,L,0-1,International Friendly
20 Nov 2002,Korea Republic v Brazil,W,2-3,International Friendly
12 Feb 2003,China PR v Brazil,D,0-0,International Friendly
29 Mar 2003,Portugal v Brazil,L,2-1,International Friendly
30 Apr 2003,Mexico v Brazil,D,0-0,International Friendly
11 Jun 2003,Nigeria v Brazil,W,0-3,International Friendly
19 Jun 2003,Brazil v Cameroon,L,0-1,FIFA Confederations Cup
21 Jun 2003,Brazil v USA,W,1-0,FIFA Confederations Cup
23 Jun 2003,Brazil v Turkey,D,2-2,FIFA Confederations Cup
13 Jul 2003,Mexico v Brazil,L,1-0,CONCACAF Gold Cup
15 Jul 2003,Brazil v Honduras,W,2-1,CONCACAF Gold Cup
19 Jul 2003,Colombia v Brazil,W,0-2,CONCACAF Gold Cup
23 Jul 2003,USA v Brazil,W,1-2,CONCACAF Gold Cup
27 Jul 2003,Mexico v Brazil,L,1-0,CONCACAF Gold Cup
07 Sep 2003,Colombia v Brazil,W,1-2,FIFA World Cup
10 Sep 2003,Brazil v Ecuador,W,1-0,FIFA World Cup
11 Oct 2003,Jamaica v Brazil,W,0-1,International Friendly
16 Nov 2003,Peru v Brazil,D,1-1,FIFA World Cup
18 Nov 2003,Brazil v Uruguay,D,3-3,FIFA World Cup
18 Feb 2004,Republic of Ireland v Brazil,D,0-0,International Friendly
31 Mar 2004,Paraguay v Brazil,D,0-0,FIFA World Cup
28 Apr 2004,Hungary v Brazil,W,1-4,International Friendly
20 May 2004,France v Brazil,D,0-0,FIFA Centenary International
02 Jun 2004,Brazil v Argentina,W,3-1,FIFA World Cup
06 Jun 2004,Chile v Brazil,D,1-1,FIFA World Cup
08 Jul 2004,Brazil v Chile,W,1-0,Copa America
11 Jul 2004,Brazil v Costa Rica,W,4-1,Copa America
14 Jul 2004,Brazil v Paraguay,L,1-2,Copa America
18 Jul 2004,Brazil v Mexico,W,4-0,Copa America
21 Jul 2004,Brazil v Uruguay,W,1-1 (5-3),Copa America
25 Jul 2004,Argentina v Brazil,W,2-2 (2-4),Copa America
18 Aug 2004,Haiti v Brazil,W,0-6,International Friendly
05 Sep 2004,Brazil v Bolivia,W,3-1,FIFA World Cup
07 Sep 2004,Germany v Brazil,D,1-1,International Friendly
09 Oct 2004,Venezuela v Brazil,W,2-5,FIFA World Cup
13 Oct 2004,Brazil v Colombia,D,0-0,FIFA World Cup
17 Nov 2004,Ecuador v Brazil,L,1-0,FIFA World Cup
09 Feb 2005,Hong Kong v Brazil,W,1-7,Carlsberg Cup
27 Mar 2005,Brazil v Peru,W,1-0,FIFA World Cup
30 Mar 2005,Uruguay v Brazil,D,1-1,FIFA World Cup
27 Apr 2005,Brazil v Guatemala,W,3-0,International Friendly
05 Jun 2005,Brazil v Paraguay,W,4-1,FIFA World Cup
08 Jun 2005,Argentina v Brazil,L,3-1,FIFA World Cup
16 Jun 2005,Brazil v Greece,W,3-0,FIFA Confederations Cup
19 Jun 2005,Mexico v Brazil,L,1-0,FIFA Confederations Cup
22 Jun 2005,Japan v Brazil,D,2-2,FIFA Confederations Cup
25 Jun 2005,Germany v Brazil,W,2-3,FIFA Confederations Cup
29 Jun 2005,Brazil v Argentina,W,4-1,FIFA Confederations Cup
17 Aug 2005,Croatia v Brazil,D,1-1,International Friendly
04 Sep 2005,Brazil v Chile,W,5-0,FIFA World Cup
09 Oct 2005,Bolivia v Brazil,D,1-1,FIFA World Cup
12 Oct 2005,Brazil v Venezuela,W,3-0,FIFA World Cup
12 Nov 2005,United Arab Emirates v Brazil,W,0-8,International Friendly
01 Mar 2006,Russia v Brazil,W,0-1,International Friendly
04 Jun 2006,Brazil v New Zealand,W,4-0,International Friendly
13 Jun 2006,Brazil v Croatia,W,1-0,FIFA World Cup
18 Jun 2006,Brazil v Australia,W,2-0,FIFA World Cup
22 Jun 2006,Japan v Brazil,W,1-4,FIFA World Cup
27 Jun 2006,Brazil v Ghana,W,3-0,FIFA World Cup
01 Jul 2006,Brazil v France,L,0-1,FIFA World Cup
16 Aug 2006,Norway v Brazil,D,1-1,International Friendly
03 Sep 2006,Brazil v Argentina,W,3-0,International Friendly
05 Sep 2006,Brazil v Wales,W,2-0,International Friendly
10 Oct 2006,Ecuador v Brazil,W,1-2,International Friendly
15 Nov 2006,Switzerland v Brazil,W,1-2,International Friendly
06 Feb 2007,Portugal v Brazil,L,2-0,International Friendly
24 Mar 2007,Brazil v Chile,W,4-0,International Friendly
27 Mar 2007,Brazil v Ghana,W,1-0,International Friendly
01 Jun 2007,England v Brazil,D,1-1,International Friendly
05 Jun 2007,Brazil v Turkey,D,0-0,International Friendly
27 Jun 2007,Brazil v Mexico,L,0-2,Copa America
01 Jul 2007,Brazil v Chile,W,3-0,Copa America
04 Jul 2007,Brazil v Ecuador,W,1-0,Copa America
07 Jul 2007,Brazil v Chile,W,6-1,Copa America
10 Jul 2007,Brazil v Uruguay,W,2-2 (5-4),Copa America
15 Jul 2007,Argentina v Brazil,W,0-3,Copa America
22 Aug 2007,Brazil v Algeria,W,2-0,International Friendly
09 Sep 2007,USA v Brazil,W,2-4,International Friendly
12 Sep 2007,Brazil v Mexico,W,3-1,International Friendly
14 Oct 2007,Colombia v Brazil,D,0-0,FIFA World Cup
17 Oct 2007,Brazil v Ecuador,W,5-0,FIFA World Cup
18 Nov 2007,Peru v Brazil,D,1-1,FIFA World Cup
21 Nov 2007,Brazil v Uruguay,W,2-1,FIFA World Cup
06 Feb 2008,Republic of Ireland v Brazil,W,0-1,International Friendly
26 Mar 2008,Brazil v Sweden,W,1-0,International Friendly
31 May 2008,Brazil v Canada,W,3-2,International Friendly
06 Jun 2008,Brazil v Venezuela,L,0-2,International Friendly
15 Jun 2008,Paraguay v Brazil,L,2-0,FIFA World Cup
18 Jun 2008,Brazil v Argentina,D,0-0,FIFA World Cup
07 Sep 2008,Chile v Brazil,W,0-3,FIFA World Cup
10 Sep 2008,Brazil v Bolivia,D,0-0,FIFA World Cup
12 Oct 2008,Venezuela v Brazil,W,0-4,FIFA World Cup
15 Oct 2008,Brazil v Colombia,D,0-0,FIFA World Cup
19 Nov 2008,Brazil v Portugal,W,6-2,International Friendly
10 Feb 2009,Brazil v Italy,W,2-0,International Friendly
29 Mar 2009,Ecuador v Brazil,D,1-1,FIFA World Cup
01 Apr 2009,Brazil v Peru,W,3-0,FIFA World Cup
06 Jun 2009,Uruguay v Brazil,W,0-4,FIFA World Cup
10 Jun 2009,Brazil v Paraguay,W,2-1,FIFA World Cup
15 Jun 2009,Brazil v Egypt,W,4-3,FIFA Confederations Cup
18 Jun 2009,USA v Brazil,W,0-3,FIFA Confederations Cup
21 Jun 2009,Italy v Brazil,W,0-3,FIFA Confederations Cup
25 Jun 2009,Brazil v South Africa,W,1-0,FIFA Confederations Cup
28 Jun 2009,USA v Brazil,W,2-3,FIFA Confederations Cup
12 Aug 2009,Estonia v Brazil,W,0-1,International Friendly
05 Sep 2009,Argentina v Brazil,W,1-3,FIFA World Cup
09 Sep 2009,Brazil v Chile,W,4-2,FIFA World Cup
11 Oct 2009,Bolivia v Brazil,L,2-1,FIFA World Cup
14 Oct 2009,Brazil v Venezuela,D,0-0,FIFA World Cup
14 Nov 2009,Brazil v England,W,1-0,International Friendly
17 Nov 2009,Oman v Brazil,W,0-2,International Friendly
02 Mar 2010,Republic of Ireland v Brazil,W,0-2,International Friendly
02 Jun 2010,Zimbabwe v Brazil,W,0-3,International Friendly
07 Jun 2010,Tanzania v Brazil,W,1-5,International Friendly
15 Jun 2010,Brazil v Korea DPR,W,2-1,FIFA World Cup
20 Jun 2010,Brazil v Ivory Coast,W,3-1,FIFA World Cup
